Date,Open,High,Low,Close,Volume
1982-02-25,111.1018,111.1018,111.1018,111.1018,0
1982-02-26,111.7849,111.7849,111.7849,111.7849,0
1982-03-01,111.8907,111.8907,111.8907,111.8907,0
1982-03-02,111.6576,111.6576,111.6576,111.6576,0
1982-03-03,111.3961,111.3961,111.3961,111.3961,0
1982-03-04,111.157,111.157,111.157,111.157,0
1982-03-05,110.2837,110.2837,110.2837,110.2837,0
1982-03-08,110.4064,110.4064,110.4064,110.4064,0
1982-03-09,111.303,111.303,111.303,111.303,0
1982-03-10,111.1346,111.1346,111.1346,111.1346,0
1982-03-11,111.5821,111.5821,111.5821,111.5821,0
1982-03-12,111.9535,111.9535,111.9535,111.9535,0
1982-03-15,111.9381,111.9381,111.9381,111.9381,0
1982-03-16,112.1951,112.1951,112.1951,112.1951,0
1982-03-17,112.0859,112.0859,112.0859,112.0859,0
1982-03-18,112.3605,112.3605,112.3605,112.3605,0
1982-03-19,112.8903,112.8903,112.8903,112.8903,0
1982-03-22,113.2448,113.2448,113.2448,113.2448,0
1982-03-23,113.1191,113.1191,113.1191,113.1191,0
1982-03-24,112.9583,112.9583,112.9583,112.9583,0
1982-03-25,113.491,113.491,113.491,113.491,0
1982-03-26,113.8481,113.8481,113.8481,113.8481,0
1982-03-29,114.2784,114.2784,114.2784,114.2784,0
1982-03-30,113.8084,113.8084,113.8084,113.8084,0
1982-03-31,114.4161,114.4161,114.4161,114.4161,0
1982-04-01,113.8626,113.8626,113.8626,113.8626,0
1982-04-02,113.708,113.708,113.708,113.708,0
1982-04-05,114.3166,114.3166,114.3166,114.3166,0
1982-04-06,114.6224,114.6224,114.6224,114.6224,0
1982-04-07,114.3287,114.3287,114.3287,114.3287,0
1982-04-08,114.9414,114.9414,114.9414,114.9414,0
1982-04-09,114.7867,114.7867,114.7867,114.7867,0
1982-04-12,114.6075,114.6075,114.6075,114.6075,0
1982-04-13,114.1637,114.1637,114.1637,114.1637,0
1982-04-14,114.425,114.425,114.425,114.425,0
1982-04-15,114.5501,114.5501,114.5501,114.5501,0
1982-04-16,114.4361,114.4361,114.4361,114.4361,0
1982-04-19,113.7643,113.7643,113.7643,113.7643,0
1982-04-20,113.4851,113.4851,113.4851,113.4851,0
1982-04-21,113.3898,113.3898,113.3898,113.3898,0
1982-04-22,113.4332,113.4332,113.4332,113.4332,0
1982-04-23,113.1739,113.1739,113.1739,113.1739,0
1982-04-26,112.4966,112.4966,112.4966,112.4966,0
1982-04-27,112.4682,112.4682,112.4682,112.4682,0
1982-04-28,112.1034,112.1034,112.1034,112.1034,0
1982-04-29,111.6387,111.6387,111.6387,111.6387,0
1982-04-30,111.4619,111.4619,111.4619,111.4619,0
1982-05-03,111.5158,111.5158,111.5158,111.5158,0
1982-05-04,111.9504,111.9504,111.9504,111.9504,0
1982-05-05,111.0502,111.0502,111.0502,111.0502,0
1982-05-06,110.6331,110.6331,110.6331,110.6331,0
1982-05-07,110.2569,110.2569,110.2569,110.2569,0
1982-05-10,110.2613,110.2613,110.2613,110.2613,0
1982-05-11,110.3537,110.3537,110.3537,110.3537,0
1982-05-12,110.6349,110.6349,110.6349,110.6349,0
1982-05-13,111.0888,111.0888,111.0888,111.0888,0
1982-05-14,111.2802,111.2802,111.2802,111.2802,0
1982-05-17,111.4802,111.4802,111.4802,111.4802,0
1982-05-18,111.7786,111.7786,111.7786,111.7786,0
1982-05-19,112.1222,112.1222,112.1222,112.1222,0
1982-05-20,111.9875,111.9875,111.9875,111.9875,0
1982-05-21,111.6778,111.6778,111.6778,111.6778,0
1982-05-24,111.63,111.63,111.63,111.63,0
1982-05-25,112.0698,112.0698,112.0698,112.0698,0
1982-05-26,112.3372,112.3372,112.3372,112.3372,0
1982-05-27,113.174,113.174,113.174,113.174,0
1982-05-28,113.3145,113.3145,113.3145,113.3145,0
1982-06-01,113.9937,113.9937,113.9937,113.9937,0
1982-06-02,113.8799,113.8799,113.8799,113.8799,0
1982-06-03,113.5508,113.5508,113.5508,113.5508,0
1982-06-04,113.7643,113.7643,113.7643,113.7643,0
1982-06-07,114.3933,114.3933,114.3933,114.3933,0
1982-06-08,114.9832,114.9832,114.9832,114.9832,0
1982-06-09,115.672,115.672,115.672,115.672,0
1982-06-10,115.7095,115.7095,115.7095,115.7095,0
1982-06-11,115.2904,115.2904,115.2904,115.2904,0
1982-06-14,116.8544,116.8544,116.8544,116.8544,0
1982-06-15,117.0658,117.0658,117.0658,117.0658,0
1982-06-16,117.735,117.735,117.735,117.735,0
1982-06-17,118.376,118.376,118.376,118.376,0
1982-06-18,118.8155,118.8155,118.8155,118.8155,0
1982-06-21,119.5901,119.5901,119.5901,119.5901,0
1982-06-22,118.7693,118.7693,118.7693,118.7693,0
1982-06-23,119.3679,119.3679,119.3679,119.3679,0
1982-06-24,118.4943,118.4943,118.4943,118.4943,0
1982-06-25,119.534,119.534,119.534,119.534,0
1982-06-28,120.0626,120.0626,120.0626,120.0626,0
1982-06-29,119.0566,119.0566,119.0566,119.0566,0
1982-06-30,118.7847,118.7847,118.7847,118.7847,0
1982-07-01,118.8854,118.8854,118.8854,118.8854,0
1982-07-02,119.1524,119.1524,119.1524,119.1524,0
1982-07-06,119.6166,119.6166,119.6166,119.6166,0
1982-07-07,120.3334,120.3334,120.3334,120.3334,0
1982-07-08,120.0277,120.0277,120.0277,120.0277,0
1982-07-09,119.108,119.108,119.108,119.108,0
1982-07-12,118.3829,118.3829,118.3829,118.3829,0
1982-07-13,119.2429,119.2429,119.2429,119.2429,0
1982-07-14,119.0399,119.0399,119.0399,119.0399,0
1982-07-15,118.8479,118.8479,118.8479,118.8479,0
1982-07-16,118.2996,118.2996,118.2996,118.2996,0
1982-07-19,118.1321,118.1321,118.1321,118.1321,0
1982-07-20,117.6045,117.6045,117.6045,117.6045,0
1982-07-21,116.8734,116.8734,116.8734,116.8734,0
1982-07-22,117.1243,117.1243,117.1243,117.1243,0
1982-07-23,116.0139,116.0139,116.0139,116.0139,0
1982-07-26,116.5794,116.5794,116.5794,116.5794,0
1982-07-27,117.0857,117.0857,117.0857,117.0857,0
1982-07-28,117.7751,117.7751,117.7751,117.7751,0
1982-07-29,118.269,118.269,118.269,118.269,0
1982-07-30,118.4111,118.4111,118.4111,118.4111,0
1982-08-02,117.4589,117.4589,117.4589,117.4589,0
1982-08-03,117.8141,117.8141,117.8141,117.8141,0
1982-08-04,118.9599,118.9599,118.9599,118.9599,0
1982-08-05,118.8698,118.8698,118.8698,118.8698,0
1982-08-06,119.1214,119.1214,119.1214,119.1214,0
1982-08-09,119.9897,119.9897,119.9897,119.9897,0
1982-08-10,120.0674,120.0674,120.0674,120.0674,0
1982-08-11,120.1854,120.1854,120.1854,120.1854,0
1982-08-12,120.2696,120.2696,120.2696,120.2696,0
1982-08-13,119.7737,119.7737,119.7737,119.7737,0
1982-08-16,120.1454,120.1454,120.1454,120.1454,0
1982-08-17,119.6247,119.6247,119.6247,119.6247,0
1982-08-18,118.535,118.535,118.535,118.535,0
1982-08-19,118.6202,118.6202,118.6202,118.6202,0
1982-08-20,117.3514,117.3514,117.3514,117.3514,0
1982-08-23,117.3877,117.3877,117.3877,117.3877,0
1982-08-24,116.2273,116.2273,116.2273,116.2273,0
1982-08-25,116.3319,116.3319,116.3319,116.3319,0
1982-08-26,116.8184,116.8184,116.8184,116.8184,0
1982-08-27,118.0049,118.0049,118.0049,118.0049,0
1982-08-30,119.3606,119.3606,119.3606,119.3606,0
1982-08-31,119.0863,119.0863,119.0863,119.0863,0
1982-09-01,118.7277,118.7277,118.7277,118.7277,0
1982-09-02,117.8128,117.8128,117.8128,117.8128,0
1982-09-03,118.36,118.36,118.36,118.36,0
1982-09-07,118.36,118.36,118.36,118.36,0
1982-09-08,118.7915,118.7915,118.7915,118.7915,0
1982-09-09,118.4608,118.4608,118.4608,118.4608,0
1982-09-10,119.5918,119.5918,119.5918,119.5918,0
